iTest	taille	min	max	nom_tri	type_tab	temps	mem
35	33218	-10000	10000	insertion	constant	0.01	2176
36	9441	-10000	10000	rapide	croissant	0.00	2124
34	72359	-10000	10000	radix	aleatoire	0.03	2628
31	88414	-10000	10000	fusion	constant	0.06	2984
31	88414	-10000	10000	fusion	croissant	0.06	2980
34	72359	-10000	10000	insertion	croissant	0.03	2512
36	9441	-10000	10000	radix	croissant	0.00	2208
34	72359	-10000	10000	insertion	constant	0.02	2572
35	33218	-10000	10000	radix	croissant	0.01	2308
35	33218	-10000	10000	radix	constant	0.00	2320
36	9441	-10000	10000	fusion	croissant	0.00	2288
36	9441	-10000	10000	fusion	aleatoire	0.00	2212
36	9441	-10000	10000	fusion	constant	0.00	2392
34	72359	-10000	10000	radix	decroissant	0.04	2660
36	9441	-10000	10000	insertion	croissant	0.00	2216
36	9441	-10000	10000	radix	constant	0.00	2140
36	9441	-10000	10000	fusion	decroissant	0.00	2400
35	33218	-10000	10000	fusion	decroissant	0.02	2308
33	80925	-10000	10000	fusion	constant	0.05	2980
36	9441	-10000	10000	rapide	aleatoire	0.00	2080
31	88414	-10000	10000	fusion	aleatoire	0.07	3036
31	88414	-10000	10000	fusion	decroissant	0.06	3036
35	33218	-10000	10000	fusion	croissant	0.02	2304
33	80925	-10000	10000	radix	croissant	0.03	2640
35	33218	-10000	10000	fusion	constant	0.02	2324
35	33218	-10000	10000	radix	decroissant	0.01	2332
37	97493	-10000	10000	rapide	decroissant	0.02	2544
34	72359	-10000	10000	fusion	decroissant	0.05	2900
34	72359	-10000	10000	fusion	constant	0.05	2848
37	97493	-10000	10000	rapide	croissant	0.02	2564
35	33218	-10000	10000	fusion	aleatoire	0.03	2452
34	72359	-10000	10000	radix	croissant	0.03	2724
33	80925	-10000	10000	fusion	croissant	0.06	2900
38	82967	-10000	10000	rapide	croissant	0.01	2388
30	7830	-10000	10000	insertion	aleatoire	0.09	2216
34	72359	-10000	10000	fusion	croissant	0.05	2848
38	82967	-10000	10000	rapide	aleatoire	0.02	2348
39	58562	-10000	10000	radix	constant	0.00	4560
37	97493	-10000	10000	radix	constant	0.02	2728
38	82967	-10000	10000	insertion	constant	0.02	2516
33	80925	-10000	10000	fusion	aleatoire	0.07	2760
39	58562	-10000	10000	rapide	croissant	0.01	2316
38	82967	-10000	10000	radix	constant	0.01	2584
39	58562	-10000	10000	rapide	decroissant	0.01	2280
33	80925	-10000	10000	fusion	decroissant	0.06	2808
34	72359	-10000	10000	fusion	aleatoire	0.06	2904
39	58562	-10000	10000	rapide	aleatoire	0.01	2388
37	97493	-10000	10000	insertion	constant	0.04	2860
37	97493	-10000	10000	rapide	aleatoire	0.03	2564
39	58562	-10000	10000	insertion	croissant	0.02	2592
38	82967	-10000	10000	insertion	croissant	0.03	2620
37	97493	-10000	10000	radix	aleatoire	0.05	2988
40	47924	-10000	10000	rapide	decroissant	0.01	2124
38	82967	-10000	10000	rapide	decroissant	0.01	2392
40	47924	-10000	10000	rapide	aleatoire	0.01	2128
39	58562	-10000	10000	radix	aleatoire	0.02	2624
40	47924	-10000	10000	rapide	croissant	0.01	2044
37	97493	-10000	10000	insertion	croissant	0.04	2852
40	47924	-10000	10000	radix	constant	0.00	2332
39	58562	-10000	10000	radix	decroissant	0.03	2440
40	47924	-10000	10000	insertion	constant	0.01	2336
40	47924	-10000	10000	radix	croissant	0.02	2216
38	82967	-10000	10000	radix	aleatoire	0.05	2644
40	47924	-10000	10000	radix	aleatoire	0.02	2176
41	96380	-10000	10000	rapide	decroissant	0.02	2660
39	58562	-10000	10000	insertion	constant	0.02	2572
40	47924	-10000	10000	fusion	croissant	0.03	2424
37	97493	-10000	10000	radix	decroissant	0.04	2912
39	58562	-10000	10000	radix	croissant	0.03	2480
38	82967	-10000	10000	fusion	constant	0.05	2944
39	58562	-10000	10000	fusion	decroissant	0.04	2712
