iTest	taille	min	max	nom_tri	type_tab	temps	mem
24	5229	-10000	10000	rapide	croissant	0.00	2188
22	45878	-10000	10000	radix	croissant	0.02	2868
22	45878	-10000	10000	insertion	unique	0.02	2520
25	8437	-10000	10000	radix	unique	0.00	2288
24	5229	-10000	10000	fusion	croissant	0.00	2424
24	5229	-10000	10000	radix	decroissant	0.00	2236
22	45878	-10000	10000	radix	decroissant	0.03	2444
20	96161	-10000	10000	fusion	croissant	0.08	3812
24	5229	-10000	10000	radix	aleatoire	0.00	2360
24	5229	-10000	10000	insertion	croissant	0.00	2380
24	5229	-10000	10000	radix	croissant	0.00	2316
25	8437	-10000	10000	radix	aleatoire	0.00	2444
24	5229	-10000	10000	fusion	decroissant	0.00	2260
21	52774	-10000	10000	fusion	decroissant	0.04	2972
22	45878	-10000	10000	insertion	croissant	0.02	4472
23	63075	-10000	10000	rapide	croissant	0.01	2904
20	96161	-10000	10000	radix	aleatoire	0.06	3372
24	5229	-10000	10000	rapide	decroissant	0.00	2012
22	45878	-10000	10000	rapide	aleatoire	0.01	2668
25	8437	-10000	10000	rapide	aleatoire	0.00	2192
23	63075	-10000	10000	rapide	aleatoire	0.02	2856
20	96161	-10000	10000	fusion	decroissant	0.08	3776
24	5229	-10000	10000	insertion	unique	0.00	2384
24	5229	-10000	10000	fusion	unique	0.00	2372
23	63075	-10000	10000	radix	unique	0.01	3116
24	5229	-10000	10000	fusion	aleatoire	0.00	2372
25	8437	-10000	10000	rapide	decroissant	0.00	2188
25	8437	-10000	10000	fusion	unique	0.00	2324
21	52774	-10000	10000	fusion	unique	0.04	3004
25	8437	-10000	10000	radix	croissant	0.00	2492
21	52774	-10000	10000	fusion	aleatoire	0.05	2988
22	45878	-10000	10000	fusion	decroissant	0.04	2716
25	8437	-10000	10000	radix	decroissant	0.00	2436
25	8437	-10000	10000	fusion	decroissant	0.00	2264
25	8437	-10000	10000	rapide	croissant	0.00	2236
26	7747	-10000	10000	fusion	decroissant	0.00	2308
23	63075	-10000	10000	fusion	croissant	0.05	3224
23	63075	-10000	10000	insertion	unique	0.03	3120
25	8437	-10000	10000	insertion	unique	0.00	2256
25	8437	-10000	10000	insertion	croissant	0.00	2272
25	8437	-10000	10000	fusion	aleatoire	0.00	2488
23	63075	-10000	10000	radix	aleatoire	0.04	5172
23	63075	-10000	10000	radix	croissant	0.04	3124
10	9322	-10000	10000	insertion	decroissant	0.30	2284
26	7747	-10000	10000	radix	aleatoire	0.00	2328
25	8437	-10000	10000	fusion	croissant	0.00	2400
22	45878	-10000	10000	fusion	croissant	0.03	2756
26	7747	-10000	10000	rapide	croissant	0.00	2228
26	7747	-10000	10000	radix	decroissant	0.00	2424
26	7747	-10000	10000	fusion	unique	0.00	2440
26	7747	-10000	10000	radix	croissant	0.00	2380
22	45878	-10000	10000	fusion	aleatoire	0.04	3056
26	7747	-10000	10000	rapide	decroissant	0.00	2176
26	7747	-10000	10000	rapide	aleatoire	0.00	2048
26	7747	-10000	10000	radix	unique	0.00	2264
23	63075	-10000	10000	radix	decroissant	0.04	3040
23	63075	-10000	10000	insertion	croissant	0.03	3128
26	7747	-10000	10000	fusion	croissant	0.00	2436
23	63075	-10000	10000	fusion	unique	0.05	3240
26	7747	-10000	10000	insertion	unique	0.00	2188
22	45878	-10000	10000	fusion	unique	0.04	3040
20	96161	-10000	10000	fusion	aleatoire	0.10	3716
26	7747	-10000	10000	fusion	aleatoire	0.00	2436
26	7747	-10000	10000	insertion	croissant	0.00	2260
20	96161	-10000	10000	fusion	unique	0.07	3764
28	63555	-10000	10000	radix	unique	0.01	3116
27	91332	-10000	10000	rapide	croissant	0.02	3100
