iTest	taille	min	max	nom_tri	type_tab	temps	mem
15	468259	-100000	100000	fusion	aleatoire	0.51	12592
9	713446	-100000	100000	fusion	decroissant	0.67	18576
13	922344	-100000	100000	radix	decroissant	0.66	23196
23	381395	-100000	100000	fusion	aleatoire	0.43	10444
2	15787	-100000	100000	insertion	decroissant	0.88	2400
12	956531	-100000	100000	radix	croissant	0.66	24004
13	922344	-100000	100000	radix	aleatoire	0.64	23016
25	653882	-100000	100000	fusion	decroissant	0.60	16792
9	713446	-100000	100000	fusion	croissant	0.65	18292
25	653882	-100000	100000	radix	croissant	0.45	16628
25	653882	-100000	100000	radix	aleatoire	0.48	16520
9	713446	-100000	100000	fusion	aleatoire	0.80	18232
14	904543	-100000	100000	radix	croissant	0.63	22656
13	922344	-100000	100000	radix	croissant	0.61	23024
14	904543	-100000	100000	radix	aleatoire	0.64	22764
12	956531	-100000	100000	radix	decroissant	0.65	23808
12	956531	-100000	100000	fusion	decroissant	0.85	24088
7	730981	-100000	100000	fusion	aleatoire	0.83	18816
11	769474	-100000	100000	fusion	croissant	0.70	19808
12	956531	-100000	100000	radix	aleatoire	0.69	23692
11	769474	-100000	100000	fusion	decroissant	0.72	19880
14	904543	-100000	100000	fusion	croissant	0.86	23208
25	653882	-100000	100000	fusion	croissant	0.60	16760
13	922344	-100000	100000	fusion	decroissant	0.82	23404
13	922344	-100000	100000	fusion	croissant	0.81	23268
14	904543	-100000	100000	fusion	decroissant	0.81	23112
12	956531	-100000	100000	fusion	croissant	0.87	24112
25	653882	-100000	100000	fusion	aleatoire	0.67	16852
12	956531	-100000	100000	fusion	aleatoire	1.06	24152
11	769474	-100000	100000	fusion	aleatoire	0.83	19736
13	922344	-100000	100000	fusion	aleatoire	1.01	23316
14	904543	-100000	100000	fusion	aleatoire	0.99	23112
18	32996	-100000	100000	insertion	aleatoire	2.04	2516
18	32996	-100000	100000	insertion	decroissant	4.08	2568
3	64355	-100000	100000	insertion	aleatoire	7.80	3104
3	64355	-100000	100000	insertion	decroissant	15.53	3124
22	128520	-100000	100000	insertion	aleatoire	31.12	3764
24	129396	-100000	100000	insertion	aleatoire	31.47	3840
10	160708	-100000	100000	insertion	aleatoire	48.83	4344
22	128520	-100000	100000	insertion	decroissant	62.48	3764
6	179801	-100000	100000	insertion	aleatoire	61.18	4704
8	189156	-100000	100000	insertion	aleatoire	67.81	4852
24	129396	-100000	100000	insertion	decroissant	63.29	4176
10	160708	-100000	100000	insertion	decroissant	97.79	4316
6	179801	-100000	100000	insertion	decroissant	122.96	4960
8	189156	-100000	100000	insertion	decroissant	135.95	4896
4	274663	-100000	100000	insertion	aleatoire	146.03	6152
21	328226	-100000	100000	insertion	aleatoire	205.13	7004
20	351248	-100000	100000	insertion	aleatoire	235.55	7604
23	381395	-100000	100000	insertion	aleatoire	277.21	8100
5	386004	-100000	100000	insertion	aleatoire	284.65	8852
17	404213	-100000	100000	insertion	aleatoire	313.92	9216
4	274663	-100000	100000	insertion	decroissant	287.95	6140
19	420945	-100000	100000	insertion	aleatoire	337.37	8576
21	328226	-100000	100000	insertion	decroissant	396.74	7200
15	468259	-100000	100000	insertion	aleatoire	409.47	9388
16	468914	-100000	100000	insertion	aleatoire	414.31	11252
20	351248	-100000	100000	insertion	decroissant	439.30	7780
23	381395	-100000	100000	insertion	decroissant	436.60	8576
1	486123	-100000	100000	insertion	aleatoire	452.46	9588
5	386004	-100000	100000	insertion	decroissant	504.44	9004
19	420945	-100000	100000	insertion	decroissant	561.23	8592
17	404213	-100000	100000	insertion	decroissant	550.06	8120
25	653882	-100000	100000	insertion	aleatoire	681.44	12152
9	713446	-100000	100000	insertion	aleatoire	720.00	13096
1	486123	-100000	100000	insertion	decroissant	749.14	9568
16	468914	-100000	100000	insertion	decroissant	751.41	9304
15	468259	-100000	100000	insertion	decroissant	791.80	9292
11	769474	-100000	100000	insertion	aleatoire	862.32	14768
7	730981	-100000	100000	insertion	aleatoire	877.73	13296
14	904543	-100000	100000	insertion	aleatoire	982.34	17236
13	922344	-100000	100000	insertion	aleatoire	1037.31	16668
25	653882	-100000	100000	insertion	decroissant	1083.05	12028
12	956531	-100000	100000	insertion	aleatoire	1105.43	17276
7	730981	-100000	100000	insertion	decroissant	1168.29	13508
9	713446	-100000	100000	insertion	decroissant	1231.54	13076
11	769474	-100000	100000	insertion	decroissant	1303.88	14140
14	904543	-100000	100000	insertion	decroissant	1631.71	16096
13	922344	-100000	100000	insertion	decroissant	1660.70	16412
12	956531	-100000	100000	insertion	decroissant	1772.76	17608
